Number1,Count,Number2
4,1,60
23,2,61
92,3,43
20,4,7
8,5,50
73,6,81
59,7,21
1,8,86
29,9,11
88,10,13
31,11,14
54,12,88
66,13,68
97,14,23
6,15,28
28,16,26
38,17,23
29,18,83
24,19,70
12,20,6
64,21,12
87,22,57
100,23,47
47,24,16
38,25,9
11,26,25
76,27,33
11,28,40
96,29,83
19,30,44
9,31,68
3,32,62
28,33,99
19,34,37
86,35,18
23,36,57
10,37,76
75,38,36
10,39,32
22,40,91
59,41,28
12,42,65
85,43,3
79,44,21
53,45,10
4,46,94
97,47,98
35,48,31
22,49,43
44,50,66
18,51,5
59,52,87
6,53,32
17,54,5
64,55,5
92,56,39
49,57,2
53,58,47
55,59,21
73,60,94
1,61,50
2,62,2
43,63,23
93,64,95
13,65,1
44,66,97
75,67,94
48,68,3
23,69,8
1,70,30
92,71,70
75,72,56
76,73,35
18,74,11
32,75,7
0,76,4
63,77,62
87,78,30
82,79,37
54,80,59
71,81,85
78,82,30
50,83,48
66,84,12
40,85,21
50,86,22
92,87,68
67,88,41
2,89,82
6,90,5
36,91,91
19,92,10
33,93,40
62,94,82
51,95,59
70,96,49
95,97,66
7,98,32
56,99,79
22,100,1
56,101,32
90,102,67
56,103,69
32,104,91
46,105,39
88,106,58
60,107,18
7,108,31
98,109,31
4,110,40
44,111,86
14,112,70
85,113,55
4,114,79
39,115,23
49,116,47
23,117,70
100,118,69
19,119,23
60,120,75
13,121,52
14,122,54
40,123,5
43,124,71
4,125,57
4,126,9
0,127,91
77,128,38
15,129,36
7,130,41
52,131,43
8,132,20
44,133,7
53,134,13
11,135,9
34,136,48
63,137,27
37,138,54
21,139,1
90,140,36
88,141,3
60,142,53
92,143,36
94,144,99
83,145,34
28,146,30
8,147,52
73,148,22
95,149,38
20,150,51
90,151,76
77,152,51
7,153,98
38,154,30
26,155,82
48,156,87
19,157,92
69,158,92
20,159,64
99,160,21
22,161,64
97,162,37
34,163,2
35,164,70
6,165,25
45,166,66
32,167,67
32,168,9
58,169,63
96,170,36
29,171,18
62,172,94
82,173,27
24,174,30
80,175,95
76,176,26
13,177,0
100,178,10
44,179,83
30,180,92
86,181,75
80,182,74
50,183,92
52,184,91
3,185,30
98,186,89
60,187,55
53,188,70
1,189,57
64,190,73
67,191,84
65,192,10
85,193,16
13,194,19
75,195,86
85,196,47
52,197,67
3,198,27
35,199,8
74,200,2
46,201,25
79,202,55
70,203,3
73,204,60
69,205,68
37,206,42
0,207,92
80,208,97
88,209,65
82,210,45
66,211,67
31,212,4
6,213,16
77,214,10
33,215,24
45,216,13
71,217,69
13,218,63
58,219,14
52,220,45
45,221,46
97,222,30
71,223,
88,224,
53,225,
53,226,
49,227,
29,228,
44,229,
90,230,
68,231,
46,232,
68,233,
90,234,
6,235,
38,236,
100,237,
85,238,
37,239,
12,240,
25,241,
18,242,
60,243,
47,244,
73,245,
16,246,
89,247,
21,248,
60,249,
46,250,
42,251,
75,252,
37,253,
32,254,
54,255,
70,256,
42,257,
45,258,
42,259,
53,260,
84,261,
22,262,
92,263,
28,264,
90,265,
51,266,
30,267,
81,268,
52,269,
46,270,
18,271,
3,272,
53,273,
93,274,
69,275,
42,276,
6,277,
20,278,
51,279,
82,280,
6,281,
87,282,
51,283,
4,284,
72,285,
70,286,
4,287,
42,288,
54,289,
40,290,
52,291,
15,292,
36,293,
58,294,
65,295,
